service_id,monday,tuesday,wednesday,thursday,friday,saturday,sunday,start_date,end_date
104,0,0,0,0,0,1,1,20180414,20180429
105,0,0,0,0,0,1,0,20180414,20180526
106,0,0,0,0,0,1,1,20180414,20180508
107,0,0,0,0,0,1,1,20180415,20180527
108,0,0,0,0,0,1,1,20180415,20180527
109,0,0,0,0,0,0,1,20180415,20180527
110,1,1,1,1,1,0,0,20180416,20180531
111,1,1,1,1,1,0,0,20180417,20180531
112,0,0,0,0,0,1,1,20180421,20180527
113,0,0,0,0,0,1,1,20180421,20180526
114,0,0,0,0,0,1,1,20180422,20180527
115,1,1,1,1,1,0,0,20180425,20180427
116,1,1,1,1,0,0,1,20180424,20180426
117,0,0,0,0,0,1,1,20180428,20180526
118,0,0,0,0,1,1,0,20180427,20180526
119,0,0,0,0,0,1,1,20180428,20180527
120,0,0,0,0,0,1,1,20180429,20180527
121,0,0,0,0,0,1,1,20180429,20180506
122,1,1,1,1,1,0,0,20180430,20180507
123,1,1,1,1,1,0,0,20180430,20180531
124,1,1,1,1,1,0,0,20180430,20180430
125,1,1,1,1,0,0,1,20180429,20180506
126,1,1,1,1,0,0,1,20180429,20180530
127,1,1,1,1,1,0,0,20180430,20180530
128,0,0,0,0,0,1,1,20180501,20180508
129,0,0,0,0,0,1,1,20180501,20180527
130,0,0,0,0,0,1,1,20180501,20180527
131,0,0,0,0,0,1,1,20180501,20180520
132,0,0,0,0,0,1,1,20180501,20180520
133,0,0,0,0,0,1,1,20180501,20180527
134,0,0,0,0,0,1,1,20180501,20180526
135,1,1,1,1,1,0,0,20180502,20180531
136,1,1,1,1,1,0,0,20180502,20180531
137,1,1,1,1,1,0,0,20180502,20180525
138,1,1,1,1,1,0,0,20180502,20180518
139,1,1,1,1,0,0,1,20180501,20180530
140,1,1,1,1,1,0,0,20180502,20180531
141,1,1,1,1,1,0,0,20180502,20180504
142,1,1,1,1,1,0,0,20180502,20180517
143,1,1,1,1,1,0,0,20180502,20180531
144,1,1,1,1,1,0,0,20180502,20180518
145,1,1,1,1,1,0,0,20180503,20180531
146,1,1,1,1,1,0,0,20180503,20180517
147,1,1,1,1,1,0,0,20180504,20180525
148,1,1,1,1,1,0,0,20180504,20180518
149,0,0,0,0,0,1,1,20180505,20180526
150,0,0,0,0,0,1,1,20180505,20180519
151,0,0,0,0,0,1,1,20180506,20180527
152,0,0,0,0,0,1,1,20180506,20180527
153,1,1,1,1,1,0,0,20180507,20180507
154,1,1,1,1,1,0,0,20180507,20180518
155,1,1,1,1,1,0,0,20180507,20180531
156,0,0,0,0,0,1,1,20180508,20180508
157,0,0,0,0,0,1,1,20180512,20180526
158,0,0,0,0,0,1,1,20180512,20180527
159,0,0,0,0,0,1,1,20180513,20180527
160,1,1,1,1,1,0,0,20180515,20180529
161,1,1,1,1,1,0,0,20180521,20180531
162,1,1,1,1,1,0,0,20180521,20180528
163,1,1,1,1,1,0,0,20180521,20180529
164,1,1,1,1,1,0,0,20180521,20180530
165,1,1,1,1,1,0,0,20180522,20180531
166,1,1,1,1,1,0,0,20180522,20180531
167,1,1,1,1,1,0,0,20180523,20180531
168,0,0,0,0,0,1,1,20180526,20180527
169,0,0,0,0,0,1,1,20180526,20180526
170,0,0,0,0,0,1,1,20180527,20180527
171,1,1,1,1,1,0,0,20180528,20180531
172,1,1,1,1,1,0,0,20180528,20180531
173,1,1,1,1,1,0,0,20180529,20180529
174,1,1,1,1,0,0,1,20180531,20180531
175,1,1,1,1,1,0,0,20180404,20180427
176,0,0,0,0,0,1,0,20180407,20180526
177,0,0,0,0,0,0,1,20180408,20180527
178,1,1,1,1,1,0,0,20180409,20180412
179,1,1,1,1,0,0,1,20180408,20180426
180,0,0,0,0,0,1,0,20180414,20180526
181,0,0,0,0,0,1,1,20180414,20180422
182,0,0,0,0,0,1,1,20180414,20180414
183,0,0,0,0,0,0,1,20180415,20180527
184,0,0,0,0,0,1,1,20180415,20180527
185,1,1,1,1,1,0,0,20180425,20180531
186,0,0,0,0,0,1,1,20180428,20180526
187,0,0,0,0,0,1,1,20180429,20180527
